,Source Account,Tweet Text,Tweet Date,Compound Score,Positive Score,Neutral Score,Negative Score
59,BBC Breaking News,"North Korea accepts offer of talks next week to discuss forthcoming Winter Olympics, says South Korea https://t.co/geD4IPrYyO",Fri Jan 05 01:46:34 +0000 2018,0.3182,0.126,0.874,0.0
60,BBC Breaking News,John Worboys - London taxi driver jailed for raping and sexually assaulting passengers - to be freed from prison https://t.co/buBEtTotvO,Thu Jan 04 15:34:19 +0000 2018,-0.9169,0.089,0.429,0.482
61,BBC Breaking News,Colman's Mustard to close Norwich factory where it has been based since 1858 https://t.co/BL3DoWT5y7,Thu Jan 04 14:59:56 +0000 2018,0.0,0.0,1.0,0.0
62,BBC Breaking News,Donald Trump's lawyers seek to stop the release of book containing explosive insights into his presidency https://t.co/KOY92Fwici,Thu Jan 04 14:53:21 +0000 2018,-0.296,0.0,0.879,0.121
63,BBC Breaking News,"""I know it's difficult, I know it's frustrating... and I apologise"" - Theresa May says sorry for delay to NHS opera… https://t.co/3QdVyRp0CN",Thu Jan 04 12:41:37 +0000 2018,-0.3612,0.11,0.633,0.257
64,BBC Breaking News,"RT @BBCSport: Andy Murray has pulled out of the Australian Open after failing to recover from injury.

More: https://t.co/h4iWtTmmoK https:…",Thu Jan 04 07:08:12 +0000 2018,-0.7269,0.0,0.747,0.253
65,BBC Breaking News,"President Trump says Steve Bannon ""lost his mind"" after losing job as aide, in response to a book about White House https://t.co/kqbOjGEfCq",Wed Jan 03 18:29:30 +0000 2018,-0.5994,0.0,0.795,0.205
66,BBC Breaking News,Homeless man who stole from victims of Manchester Arena explosion admits theft https://t.co/baj6Nzmb89,Wed Jan 03 12:36:08 +0000 2018,-0.0258,0.142,0.71,0.148
67,BBC Breaking News,"As tension continues, South Korea proposes high-level talks with North for 9 January to discuss Winter Olympics https://t.co/ytbNm2zPia",Tue Jan 02 05:25:32 +0000 2018,-0.3182,0.0,0.874,0.126
68,BBC Breaking News,"Man held on suspicion of murdering Iuliana Tudos, 22, found dead after going missing on Christmas Eve https://t.co/4c3WwCQqNq",Mon Jan 01 15:11:55 +0000 2018,-0.9246,0.0,0.511,0.489
69,BBC Breaking News,"Four men stabbed to death in unrelated incidents in London since New Year's Eve, say police https://t.co/LlGjlumRsQ",Mon Jan 01 11:34:51 +0000 2018,-0.7783,0.0,0.688,0.312
70,BBC Breaking News,Iran protests: At least 10 people killed as anti-government demonstrations continue - state TV https://t.co/JjYLYZzJTb,Mon Jan 01 10:49:12 +0000 2018,-0.7506,0.0,0.652,0.348
71,BBC Breaking News,"Palestinians recall envoy to US for ""consultations"" in wake of Trump's recognition of Jerusalem as Israel's capital https://t.co/JLLXY2FrIn",Sun Dec 31 17:35:52 +0000 2017,0.0,0.0,1.0,0.0
